1.6241e-05,2.4159e-05,8.1207e-06,8.1207e-06,0,0,0,4.9401e-06,3.3836e-08,2.9099e-06,1.6241e-07,0,0,0,4.331e-06,4.1957e-06,8.5267e-06,1.3534e-07,0,8.1207e-06,9.2711e-06,8.1884e-06,4.9401e-06,6.7672e-08,2
3.3836e-07,4.2769e-05,8.9328e-06,8.9328e-06,2.7069e-07,0,2.7069e-07,1.1504e-06,1.4211e-07,0,7.0379e-07,1.3534e-07,0,0,8.7974e-06,4.6017e-06,1.3399e-05,4.0603e-07,6.7672e-08,9.5418e-06,9.2034e-06,9.4741e-06,8.1207e-07,0,1
1.1978e-05,5.2717e-05,9.0004e-06,9.0004e-06,1.3534e-07,0,3.3836e-07,1.0828e-06,1.4211e-07,0,9.0681e-07,1.3534e-07,0,0,8.7974e-06,4.6017e-06,1.3399e-05,3.3836e-07,6.7672e-08,9.5418e-06,9.1358e-06,9.3388e-06,8.7974e-07,0,1
2.7813e-05,8.0666e-05,9.0681e-06,9.0681e-06,1.3534e-07,0,4.0603e-07,1.0828e-06,1.6241e-07,0,1.5565e-06,1.3534e-07,0,0,7.9177e-06,3.5866e-06,1.1504e-05,7.444e-07,0,9.2711e-06,9.0681e-06,9.2711e-06,8.7974e-07,6.7672e-08,1
3.6069e-05,7.762e-05,8.9328e-06,8.9328e-06,2.7069e-07,0,3.3836e-07,1.0828e-06,1.6241e-07,0,1.3467e-06,0,0,0,7.9177e-06,3.5866e-06,1.1504e-05,6.0905e-07,0,9.2711e-06,9.2034e-06,9.3388e-06,7.444e-07,6.7672e-08,1
0,6.4492e-05,9.0681e-06,9.0681e-06,6.7672e-08,0,6.7672e-07,1.7595e-06,3.9927e-07,0,0,6.0905e-07,0,1.3534e-07,1.0151e-05,3.3836e-06,1.3534e-05,3.3836e-07,2.0302e-07,5.1431e-06,7.2409e-06,7.2409e-06,1.1504e-05,0,3
1.6241e-05,6.4492e-05,9.0681e-06,9.0681e-06,6.7672e-08,0,6.0905e-07,1.9625e-06,4.2634e-07,0,0,4.0603e-07,0,1.3534e-07,1.0151e-05,3.3836e-06,1.3534e-05,4.0603e-07,2.0302e-07,4.8047e-06,7.2409e-06,7.1733e-06,1.455e-05,0,3
4.1957e-06,4.595e-05,8.256e-06,8.256e-06,0,0,0,5.6168e-06,3.3836e-08,4.0603e-07,1.0557e-06,0,0,0,4.6017e-06,4.1957e-06,8.7974e-06,0,0,8.256e-06,8.256e-06,8.3237e-06,2.0302e-07,6.7672e-08,3
8.1207e-06,5.2717e-05,8.256e-06,8.256e-06,0,0,6.7672e-08,5.6845e-06,3.3836e-08,3.3836e-07,9.2034e-07,0,0,0,4.6017e-06,4.1957e-06,8.7974e-06,0,0,8.256e-06,8.256e-06,8.3237e-06,2.0302e-07,6.7672e-08,3
1.2249e-05,8.0666e-05,8.256e-06,8.256e-06,0,0,2.0302e-07,5.8198e-06,2.0302e-08,4.0603e-07,7.1733e-07,0,0,0,4.6017e-06,4.1957e-06,8.7974e-06,6.7672e-08,0,8.256e-06,8.256e-06,8.3237e-06,6.7672e-08,6.7672e-08,3
0,8.1139e-05,1.0219e-05,1.0219e-05,0,0,6.7672e-08,4.331e-06,1.2858e-07,6.0905e-07,1.8678e-06,6.7672e-08,0,0,8.7974e-06,3.7897e-06,1.2587e-05,1.3534e-07,0,1.0151e-05,1.0016e-05,1.0219e-05,6.0905e-07,6.7672e-08,2
